482004.850000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0031 1 10000;10908;11054;10551;10119;11047;10106;10813;11430;11315;11301;11406;10000 8:0 16:37 89603 1075.24 0 10.40 200 1285.64 0
DP0032 2 10000;10944;10023;11231;10978;11150;10408;10081;11389;11431;11466;10000 8:0 16:35 108770 1522.78 0 1.60 300 1824.38 0
DP0033 2 10000;10960;10088;10460;10522;10096;11070;11467;10000 8:0 13:58 104257 1459.60 0 0.40 300 1760.00 0
DP0034 1 10000;10733;10665;10549;10245;10840;11540;11459;11410;11343;10000 8:0 16:10 169605 2035.26 50 2.40 200 2287.66 1
DP0035 1 10000;10971;10123;10963;10145;10784;11373;11345;11490;11443;11476;11505;10000 8:0 17:17 133566 1602.79 50 22.40 200 1875.19 1
DP0036 2 10000;10986;10027;10202;10033;10401;10325;11434;11500;11371;11568;10000 8:0 17:27 178528 2499.39 50 21.20 300 2870.59 1
DP0037 1 10000;11098;10459;10926;10803;10562;11251;11460;11433;11360;10000 8:0 15:58 74433 893.20 0 28.00 200 1121.20 0
DP0038 2 10000;11131;10889;10220;11192;10442;10161;11232;11482;11486;11361;11472;11462;11546;10000 8:0 17:37 144023 2016.32 50 0.00 300 2366.32 1
DP0039 2 10000;11138;10020;11007;10670;11289;10543;11235;11365;11429;11470;10000 8:0 16:1 81794 1145.12 0 27.60 300 1472.72 0
DP0040 2 10000;11176;10052;10016;10806;10805;11375;11499;11331;11520;10000 8:0 17:37 178972 2505.61 50 31.20 300 2886.81 1
DP0041 2 10000;11246;10727;10166;11293;11127;10178;11372;11366;11419;11479;10000 8:0 16:44 93228 1305.19 0 32.00 300 1637.19 0
DP0042 1 10000;11265;11118;10268;10067;10536;10877;11367;11425;11495;11578;10000 8:0 16:34 103783 1245.40 50 18.40 200 1513.80 1
DP0043 1 10000;10035;11194;10947;11048;10063;11388;11409;11572;10000 8:0 17:3 138205 1658.46 50 42.80 200 1951.26 1
DP0044 1 10000;10058;10237;10635;10147;10569;10930;11403;11416;11550;10000 8:0 17:9 151747 1820.96 50 33.60 200 2104.56 1
DP0045 1 10000;10461;10367;11117;10751;11226;10398;11413;11322;10000 8:28 15:59 63514 762.17 0 44.00 200 1006.17 0
DP0046 1 10000;10839;10786;10818;10444;10678;11508;11423;10000 8:0 15:53 131246 1574.95 50 28.00 200 1852.95 1
DP0047 1 10000;10777;10226;10585;10293;10240;10200;10479;11452;11432;11559;11393;10000 8:0 17:14 143907 1726.88 50 13.20 200 1990.08 1
DP0048 1 10000;10855;10330;10421;10754;11571;10000 8:0 13:33 133887 1606.64 50 0.00 200 1856.64 1
DP0049 1 10000;10876;10447;10217;11584;10000 8:0 12:54 105260 1263.12 50 1.20 200 1514.32 1
DP0050 2 10000;10078;10113;10213;10457;10821;11436;11444;11510;11387;10000 8:0 17:19 197197 2760.76 50 22.40 300 3133.16 1
DP0051 1 10000;10904;11053;11283;11294;10892;10000 8:0 12:2 62103 745.24 0 0.00 200 945.24 0
DP0052 1 10000;10122;10485;10967;11167;10094;10849;11440;11473;11539;10000 8:0 15:53 150157 1801.88 50 10.00 200 2061.88 1
DP0053 1 10000;10138;10368;10043;10950;11079;11488;11575;10000 8:0 15:16 125468 1505.62 50 26.00 200 1781.62 1
DP0054 1 10000;10158;10974;10870;10668;10170;11447;11493;11454;11552;10000 8:0 17:33 131204 1574.45 50 50.40 200 1874.85 1
DP0055 2 10000;10192;10076;10184;10101;11477;11427;11598;10000 8:0 16:29 163158 2284.21 50 25.20 300 2659.41 1
DP0056 1 10000;10197;10608;10025;10041;10474;11496;11494;11521;10000 8:0 17:10 139775 1677.30 50 40.80 200 1968.10 1
DP0057 2 10000;10199;10322;10082;11260;10257;11485;10000 8:0 15:5 97812 1369.37 0 26.80 300 1696.17 0
DP0058 1 10000;11020;10422;10414;10222;10624;11508;10000 8:0 14:17 142438 1709.26 50 0.00 200 1959.26 1
DP0059 1 10000;11042;10584;11084;10891;10000 8:0 12:21 101325 1215.90 0 0.00 200 1415.90 0
DP0060 2 10000;10255;10865;11209;10438;10555;10799;11394;11572;10000 8:0 17:27 129926 1818.96 50 68.40 300 2237.36 1
DP0061 1 10000;10269;10139;10117;11199;11573;10000 8:0 14:4 145433 1745.20 50 0.00 200 1995.20 1
DP0062 1 10000;11087;11229;11195;11218;10049;11562;10000 8:0 14:18 155996 1871.95 50 0.00 200 2121.95 1
DP0063 2 10000;10305;11126;10071;10774;10762;11402;11562;10000 8:0 16:48 175775 2460.85 50 38.00 300 2848.85 1
DP0064 2 10000;10312;10599;10042;10938;10936;10652;11408;10000 8:0 15:53 113129 1583.81 0 42.80 300 1926.61 0
DP0065 1 10000;11136;10407;10847;10817;11510;10000 8:12 13:24 141007 1692.08 50 0.00 200 1942.08 1
DP0066 1 10000;10350;11130;10345;10120;10697;10000 8:0 12:27 73136 877.63 0 0.00 200 1077.63 0
DP0067 1 10000;10362;10218;11102;10340;10470;10000 8:0 13:1 93689 1124.27 0 0.00 200 1324.27 0
DP0068 2 10000;10372;10040;10701;11272;10785;10000 8:0 12:59 111601 1562.41 0 0.00 300 1862.41 0
DP0069 1 10000;11170;10373;10201;10090;11562;10000 8:0 13:37 139199 1670.39 50 0.00 200 1920.39 1
DP0070 1 10000;10386;11220;10151;10211;10962;11584;10000 8:0 13:37 117234 1406.81 50 0.00 200 1656.81 1
DP0071 2 10000;11197;10357;10411;10221;11542;10000 8:0 13:30 118659 1661.23 50 0.00 300 2011.23 1
DP0072 2 10000;10428;10922;10162;10156;10313;11088;10000 8:0 13:8 83523 1169.32 0 0.00 300 1469.32 0
DP0073 2 10000;10445;10341;10976;11046;10598;10641;10000 8:0 12:50 80416 1125.82 0 0.00 300 1425.82 0
DP0074 1 10000;11245;11206;11187;11263;11552;10000 8:13 12:57 112465 1349.58 50 0.00 200 1599.58 1
DP0075 1 10000;10449;10014;10524;10666;10581;11577;10000 8:0 13:45 141299 1695.59 50 0.00 200 1945.59 1
DP0076 1 10000;10469;10871;10285;10572;11164;10254;10000 8:0 12:58 86315 1035.78 0 0.00 200 1235.78 0
DP0077 1 10000;11275;11159;10689;10601;11578;10000 8:13 12:50 108668 1304.02 50 0.00 200 1554.02 1
DP0078 1 10000;10499;10377;10091;10885;10664;10182;10000 8:0 12:57 64838 778.06 0 0.00 200 978.06 0
DP0079 2 10000;10511;10931;10366;10295;10681;10987;10000 8:0 12:50 84819 1187.47 0 0.00 300 1487.47 0
DP0080 1 10000;10516;10183;10589;11262;10289;10032;10000 8:0 12:19 51513 618.16 0 0.00 200 818.16 0
DP0081 1 10000;10535;11110;10127;10136;10278;11542;10000 8:0 13:37 99628 1195.54 50 0.00 200 1445.54 1
DP0082 1 10000;10537;10173;10115;10331;10060;11595;10000 8:0 13:57 137756 1653.07 50 0.00 200 1903.07 1
DP0083 1 10000;10427;10592;10563;11573;10000 8:0 13:20 155177 1862.12 50 0.00 200 2112.12 1
DP0084 1 10000;10580;10851;11061;10609;10627;10929;10000;11380;10000 8:0 14:40 87946 1055.35 0 24.00 200 1279.35 0
DP0085 1 10000;10600;10945;10402;11090;11256;10212;11505;10000 8:0 13:53 118149 1417.79 50 0.00 200 1667.79 1
DP0086 1 10000;10552;10797;10778;10000 8:22 11:41 85350 1024.20 0 0.00 200 1224.20 0
DP0087 1 10000;10568;11064;10111;11508;10000 8:0 13:10 138685 1664.22 50 0.00 200 1914.22 1
DP0088 1 10000;10616;10869;11027;10037;10353;11559;10000 8:0 13:25 109413 1312.96 50 0.00 200 1562.96 1
DP0089 2 10000;10628;11279;11145;10267;10827;10000;11317;10000 8:0 14:58 147300 2062.20 0 24.00 300 2386.20 0
DP0090 1 10000;10595;10392;11124;10810;11562;10000 8:0 13:24 136988 1643.86 50 0.00 200 1893.86 1
DP0091 1 10000;10651;10210;10862;10209;11059;10000 8:0 12:41 76378 916.54 0 0.00 200 1116.54 0
DP0092 1 10000;10672;11233;10187;11019;11562;10000 8:0 13:44 154368 1852.42 50 0.00 200 2102.42 1
DP0093 1 10000;10710;10193;10075;10109;11281;11532;10000 8:0 13:24 123576 1482.91 50 0.00 200 1732.91 1
DP0094 1 10000;10712;10436;10297;10236;10492;10748;10000 8:0 12:52 85464 1025.57 0 0.00 200 1225.57 0
DP0095 1 10000;10724;10148;10022;10794;10496;11573;10000 8:0 14:30 157931 1895.17 50 0.00 200 2145.17 1
DP0096 1 10000;10729;10763;10300;10544;10587;10000 8:0 12:19 72127 865.52 0 0.00 200 1065.52 0
DP0097 1 10000;10788;10896;10590;10968;11508;10000 8:0 13:28 129424 1553.09 50 0.00 200 1803.09 1
DP0098 1 10000;10765;10036;10157;10046;11258;10583;11599;10000 8:0 14:8 130040 1560.48 50 0.00 200 1810.48 1
DP0099 1 10000;11104;10833;10556;10403;10000 8:0 11:21 59537 714.44 0 0.00 200 914.44 0
DP0100 1 10000;10775;10604;10605;10380;10500;11588;10000 8:0 13:31 109345 1312.14 50 0.40 200 1562.54 1
DP0101 1 10000;10789;10632;10691;10736;10529;10000 8:0 12:20 76764 921.17 0 0.00 200 1121.17 0
DP0102 1 10000;10798;10360;10424;10560;10836;10000 8:0 12:36 91583 1099.00 0 0.00 200 1299.00 0
DP0103 1 10000;11034;10887;10782;11503;10000 8:0 12:18 104350 1252.20 50 0.00 200 1502.20 1
DP0104 1 10000;10824;10093;10888;10231;10815;10195;10311;10000 8:0 12:57 46141 553.69 0 0.00 200 753.69 0
DP0105 1 10000;10829;10303;10086;11041;10673;11552;10000 8:0 13:40 119393 1432.72 50 0.00 200 1682.72 1
DP0106 1 10000;10917;11069;10706;11577;10000 8:4 13:4 141466 1697.59 50 2.00 200 1949.59 1
DP0107 1 10000;10935;11210;10646;10629;10000 8:0 11:45 70838 850.06 0 5.20 200 1055.26 0
DP0108 1 10000;10872;10400;11162;10554;11002;10266;10000 8:0 13:7 86526 1038.31 0 0.00 200 1238.31 0
DP0109 1 10000;10893;10247;10902;10513;10370;10000 8:0 12:46 84653 1015.84 0 0.00 200 1215.84 0
DP0110 1 10000;10927;11158;10137;10087;11181;11554;10000 8:0 13:32 109472 1313.66 50 0.00 200 1563.66 1
DP0111 1 10000;10932;10332;10966;10981;10739;11539;10000 8:0 13:21 115975 1391.70 50 0.00 200 1641.70 1
DP0112 1 10000;10939;10397;10131;10512;10000 8:0 12:45 95406 1144.87 0 0.00 200 1344.87 0
DP0113 2 10000;10946;11149;10417;11152;10258;10433;10000 8:0 13:20 81168 1136.35 0 0.00 300 1436.35 0
DP0114 1 10000;11151;10196;11547;10000 8:0 12:42 166339 1996.07 50 0.00 200 2246.07 1
DP0115 2 10000;11163;11183;11051;11562;10000 8:2 13:0 170972 2393.61 50 0.00 300 2743.61 1
DP0116 2 10000;11191;10816;11508;10000 8:0 12:21 132958 1861.41 50 0.00 300 2211.41 1
DP0117 1 10000;11219;10446;11555;10000 8:40 12:19 118937 1427.24 50 0.00 200 1677.24 1
DP0118 2 10000;11001;10520;10116;10343;10275;11508;10000 8:0 14:14 139393 1951.50 50 0.00 300 2301.50 1
DP0119 1 10000;11008;10468;10203;10495;10692;11143;10000 8:0 12:45 79717 956.60 0 0.00 200 1156.60 0
DP0120 2 10000;11239;11217;10396;10000 8:0 12:16 118268 1655.75 0 0.00 300 1955.75 0
DP0121 1 10000;11264;10643;11568;10000 8:0 12:23 127070 1524.84 50 0.00 200 1774.84 1
DP0122 1 10000;11270;11031;11555;10000 8:39 12:24 116703 1400.44 50 0.00 200 1650.44 1
DP0123 1 10000;11049;10916;11045;10053;10410;11555;10000 8:0 13:38 114971 1379.65 50 0.00 200 1629.65 1
DP0124 1 10000;11063;10975;11123;10878;10534;10000 8:0 12:42 106491 1277.89 0 0.00 200 1477.89 0
DP0125 2 10000;11065;11259;10224;11005;10134;10000 8:0 12:40 83742 1172.39 0 0.00 300 1472.39 0
DP0126 1 10000;11067;10634;10550;11103;10409;10030;10000 8:0 13:3 78538 942.46 0 0.00 200 1142.46 0
DP0127 1 10000;11083;10395;10172;10722;10982;11579;10000 8:0 13:24 146577 1758.92 50 0.00 200 2008.92 1
DP0128 1 10000;10853;10481;11508;10000 8:0 12:22 124509 1494.11 50 0.00 200 1744.11 1
DP0129 1 10000;10912;10795;10000 9:41 11:23 20637 247.64 0 0.00 200 447.64 0
DP0130 1 10000;10491;10937;10000 9:40 11:40 46721 560.65 0 0.00 200 760.65 0
DP0131 1 10000;10667;11562;10000 8:23 12:15 136735 1640.82 50 0.00 200 1890.82 1
DP0132 1 10000;11184;10443;10334;11050;10393;10000 8:0 12:14 69796 837.55 0 0.00 200 1037.55 0
DP0133 1 10000;11189;10761;11101;10099;10696;11554;10000 8:0 13:18 107813 1293.76 50 0.00 200 1543.76 1
DP0134 1 10000;11214;11253;10355;11227;10233;11541;10000 8:0 14:7 135158 1621.90 50 3.60 200 1875.50 1
DP0135 1 10000;10842;10899;10000 9:31 11:41 56828 681.94 0 0.00 200 881.94 0
DP0136 2 10000;11255;10321;10169;10466;10675;10000 8:0 12:55 118873 1664.22 0 0.00 300 1964.22 0
DP0137 1 10000;11271;11096;10176;10780;10737;11508;10000 8:0 14:20 152343 1828.12 50 0.00 200 2078.12 1
DP0138 1 10000;10980;11040;10000 9:45 11:40 33619 403.43 0 0.00 200 603.43 0
DP0139 1 10000;10070;10286;10497;10389;11278;11512;10000 8:0 13:45 120381 1444.57 50 0.00 200 1694.57 1
DP0140 1 10000;10105;10132;11024;10292;10933;11550;10000 8:0 14:4 151619 1819.43 50 0.00 200 2069.43 1
DP0141 1 10000;11185;11541;10000 9:9 12:33 120256 1443.07 50 0.00 200 1693.07 1
DP0142 1 10000;10186;10755;10918;10308;11276;11547;10000 8:0 14:5 157456 1889.47 50 0.00 200 2139.47 1
DP0143 1 10000;10223;10521;11009;10890;11530;10000 8:0 13:20 146682 1760.18 50 0.00 200 2010.18 1
DP0144 1 10000;10230;10307;10003;10128;10346;11595;10000 8:0 14:13 143415 1720.98 50 0.00 200 1970.98 1
DP0145 1 10000;10238;11095;10514;10045;11577;10000 8:0 13:37 119673 1436.08 50 1.20 200 1687.28 1
DP0146 1 10000;10124;10713;10988;10914;10591;10953;10450;11321;11382;11353;11336;11569;10000 8:0 17:10 112953 1355.44 50 18.40 200 1623.84 1
DP0147 2 10000;10259;11211;10907;10103;10118;11595;10000 8:0 14:4 127572 1786.01 50 0.00 300 2136.01 1
DP0148 1 10000;10315;10783;11017;10475;11507;10000 8:0 13:4 113589 1363.07 50 0.00 200 1613.07 1
DP0149 1 10000;10336;10961;10250;10505;10391;11550;10000 8:0 14:15 136116 1633.39 50 0.00 200 1883.39 1
DP0150 1 10000;10228;11089;10283;10024;10610;10135;11350;11325;11405;11333;11562;10000 8:0 17:28 158388 1900.66 50 0.00 200 2150.66 1
DP0151 1 10000;10371;11109;10676;10766;11526;10000 8:0 13:20 125118 1501.42 50 0.00 200 1751.42 1
DP0152 2 10000;10399;11013;10458;10463;10000 8:0 12:43 109459 1532.43 0 0.00 300 1832.43 0
DP0153 1 10000;10405;10623;10621;10248;11224;11595;10000 8:0 13:51 144818 1737.82 50 0.00 200 1987.82 1
DP0154 1 10000;10413;10726;10141;10861;10011;11547;10000 8:0 14:20 149328 1791.94 50 0.00 200 2041.94 1
DP0155 1 10000;10429;10494;11223;10382;10249;11550;10000 8:0 14:15 139856 1678.27 50 0.00 200 1928.27 1
DP0156 1 10000;10464;10919;10996;10952;10998;11577;10000 8:0 13:46 118463 1421.56 50 0.00 200 1671.56 1
DP0157 1 10000;10484;10188;11198;10826;11577;10000 8:0 13:25 118170 1418.04 50 0.00 200 1668.04 1
DP0158 1 10000;10506;10661;10711;10548;11508;10000 8:0 13:41 146323 1755.88 50 0.00 200 2005.88 1
DP0159 1 10000;10510;10901;10834;11154;10347;10000 8:0 12:47 86728 1040.74 0 0.00 200 1240.74 0
DP0160 1 10000;10518;10270;11242;10746;11598;10000 8:0 13:33 146545 1758.54 50 0.00 200 2008.54 1
DP0161 1 10000;10533;10586;10253;11204;10900;11463;11441;11511;11354;10000 8:0 16:5 147845 1774.14 50 0.00 200 2024.14 1
DP0162 1 10000;10540;11094;10659;10385;11269;11081;10000 8:0 12:22 59923 719.08 0 0.00 200 919.08 0
DP0163 1 10000;10707;10206;11039;10005;10830;11468;11391;11448;11310;11516;10000 8:0 16:34 119874 1438.49 50 24.00 200 1712.49 1
DP0164 2 10000;10582;11108;10160;10898;11573;10000 8:0 14:21 158501 2219.01 50 0.00 300 2569.01 1
DP0165 1 10000;10612;10671;11085;11112;10990;11562;10000 8:0 14:3 135568 1626.82 50 0.00 200 1876.82 1
DP0166 2 10000;10613;10625;11028;10387;10519;11508;10000 8:0 14:11 151662 2123.27 50 0.00 300 2473.27 1
DP0167 2 10000;10620;10314;10318;10527;11562;10000 8:0 14:15 178119 2493.67 50 0.00 300 2843.67 1
DP0168 1 10000;10857;10256;11100;11092;10546;10121;10191;11374;11469;10000 8:0 15:40 94611 1135.33 0 25.20 200 1360.53 0
DP0169 1 10000;10660;10645;10440;10242;10614;11519;10000 8:12 13:44 121032 1452.38 50 0.00 200 1702.38 1
DP0170 1 10000;10683;10648;10056;11021;11004;11579;10000 8:0 13:45 120898 1450.78 50 0.00 200 1700.78 1
DP0171 1 10000;10699;10607;10390;10503;11555;10000 8:0 13:17 119701 1436.41 50 0.00 200 1686.41 1
DP0172 1 10000;10709;10828;10905;10351;10639;10057;10000 8:0 12:43 75661 907.93 0 0.00 200 1107.93 0
DP0173 1 10000;10716;11026;10319;11182;10243;10000 8:0 12:55 75069 900.83 0 0.00 200 1100.83 0
DP0174 2 10000;10969;10181;10622;10029;10085;10769;11464;10000 8:0 14:36 107035 1498.49 0 12.80 300 1811.29 0
DP0175 2 10000;10742;11014;10923;10179;10435;10000 8:2 13:18 120342 1684.79 0 0.00 300 1984.79 0
DP0176 1 10000;10744;10767;10465;10361;10000 8:0 11:35 67392 808.70 0 0.00 200 1008.70 0
DP0177 2 10000;10756;11106;10663;10760;11525;10000 8:0 13:15 128826 1803.56 50 0.00 300 2153.56 1
DP0178 1 10000;10768;10951;10490;11153;10000 8:0 12:5 82588 991.06 0 0.00 200 1191.06 0
DP0179 1 10000;10787;10274;10642;10000 8:0 12:11 85604 1027.25 0 0.00 200 1227.25 0
DP0180 1 10000;10796;10326;10983;10903;10856;11508;10000 8:0 13:56 134038 1608.46 50 0.00 200 1858.46 1
DP0181 1 10000;10801;11097;10280;10483;11541;10000 8:0 13:25 135604 1627.25 50 0.00 200 1877.25 1
DP0182 1 10000;10808;10845;10215;10606;11105;10000 8:0 12:15 67804 813.65 0 0.00 200 1013.65 0
DP0183 1 10000;10809;11222;10415;10850;11552;10000 8:0 12:43 125297 1503.56 50 0.00 200 1753.56 1
DP0184 1 10000;10822;10412;10741;10800;10000 8:0 12:27 86672 1040.06 0 0.00 200 1240.06 0
DP0185 1 10000;10825;10376;10848;11208;11588;10000 8:0 13:21 131944 1583.33 50 0.00 200 1833.33 1
DP0186 2 10000;11261;10129;10349;10804;10753;10647;11414;10000 8:0 15:21 81651 1143.11 0 36.80 300 1479.91 0
DP0187 1 10000;10843;10574;10594;11056;11298;11508;10000 8:0 14:10 137325 1647.90 50 0.00 200 1897.90 1
DP0188 2 10000;10062;11267;10189;10633;10703;10316;11422;11451;11550;10000 8:0 16:4 145390 2035.46 50 3.20 300 2388.66 1
DP0189 1 10000;10064;10356;10335;10107;10271;11428;11446;11510;10000 8:0 17:31 164835 1978.02 50 39.60 200 2267.62 1
DP0190 1 10000;10883;10454;11139;10913;10000 8:0 12:8 84444 1013.33 0 0.00 200 1213.33 0
DP0191 2 10000;10102;10831;10866;10597;10956;10416;11492;11481;11541;10000 8:0 16:38 184172 2578.41 50 14.00 300 2942.41 1
DP0192 1 10000;10906;11023;10879;10329;10244;10000 8:0 12:52 73241 878.89 0 0.00 200 1078.89 0
DP0193 1 10000;10920;10679;10776;10770;11592;10000 8:0 12:30 102992 1235.90 50 0.00 200 1485.90 1
DP0194 1 10000;10921;10970;10593;10515;10000 8:0 12:17 97796 1173.55 0 0.00 200 1373.55 0
DP0195 1 10000;10972;11128;10994;10934;11075;10000 8:0 12:24 99720 1196.64 0 0.00 200 1396.64 0
DP0196 1 10000;10995;10486;10207;11169;11508;10000 8:0 13:56 147111 1765.33 50 0.00 200 2015.33 1
DP0197 1 10000;11010;10462;11037;11078;11581;10000 8:0 12:32 102633 1231.60 50 1.20 200 1482.80 1
DP0198 1 10000;10225;10567;10948;10764;10943;10626;11377;11597;10000 8:0 15:39 118286 1419.43 50 21.20 200 1690.63 1
DP0199 1 10000;10227;10263;10050;10526;11274;11397;11572;10000 8:0 16:58 125560 1506.72 50 68.00 200 1824.72 1
DP0200 1 10000;11066;10281;11091;11157;11562;10000 8:0 14:4 171884 2062.61 50 0.00 200 2312.61 1
DP0201 1 10000;11076;10565;11180;11125;11507;10000 8:0 13:13 112207 1346.48 50 0.00 200 1596.48 1
DP0202 2 10000;10290;10320;10779;11147;11062;10949;11480;10000 8:0 15:48 105655 1479.17 0 49.20 300 1828.37 0
DP0203 1 10000;11093;11203;11291;10758;11055;10000 8:0 12:43 87498 1049.98 0 0.00 200 1249.98 0
DP0204 1 10000;11107;10523;10864;11156;11507;10000 8:0 13:5 105774 1269.29 50 0.00 200 1519.29 1
DP0205 1 10000;10338;10149;10154;10239;10686;10000 8:0 12:57 88483 1061.80 0 0.00 200 1261.80 0
DP0206 1 10000;11137;11120;10272;11148;11508;10000 8:0 13:29 140472 1685.66 50 0.00 200 1935.66 1
DP0207 1 10000;11140;11292;10287;10276;11550;10000 8:0 13:9 126107 1513.28 50 0.00 200 1763.28 1
DP0208 1 10000;11168;11186;11016;11595;10000 8:0 12:51 140445 1685.34 50 0.00 200 1935.34 1
DP0209 1 10000;10374;10557;11080;11273;11043;10034;10000 8:0 12:23 62456 749.47 0 0.00 200 949.47 0
DP0210 2 10000;11172;10354;10302;11599;10000 8:0 13:0 153782 2152.95 50 0.00 300 2502.95 1
DP0211 1 10000;10419;10693;10009;10747;11114;10194;11514;10000 8:0 13:26 110072 1320.86 50 2.00 200 1572.86 1
DP0212 1 10000;11213;10452;10750;10575;11540;10000 8:0 12:57 132459 1589.51 50 0.00 200 1839.51 1
DP0213 1 10000;11237;11207;10069;11044;11510;10000 8:0 13:20 133092 1597.10 50 0.00 200 1847.10 1
DP0214 2 10000;10448;10992;10493;11003;10167;11200;11579;10000 8:0 13:46 120417 1685.84 50 0.00 300 2035.84 1
DP0215 1 10000;11247;10588;10441;11520;10000 8:0 12:47 138684 1664.21 50 0.00 200 1914.21 1
DP0216 1 10000;11266;10576;11025;10874;11073;10000 8:0 12:12 80289 963.47 0 0.00 200 1163.47 0
DP0217 1 10000;10480;11029;10061;10698;10073;11514;10000 8:0 13:26 131727 1580.72 50 0.00 200 1830.72 1
DP0218 1 10000;11285;10561;11035;11599;10000 8:0 12:49 135001 1620.01 50 0.00 200 1870.01 1
DP0219 1 10000;11288;10814;10658;10517;11552;10000 8:10 13:20 114908 1378.90 50 0.00 200 1628.90 1
